英雄,生命值,法力值,攻击力,防御力,敏捷,类型
不知火舞,610,0,368,480,888,刺客
李白,420,500,550,580,900,刺客
貂蝉,460,700,320,440,900,刺客
兰陵王,640,530,775,520,900,刺客
孙悟空,666,420,635,650,900,刺客
阿轲,600,0,980,560,950,刺客
韩信,470,300,770,380,999,刺客
张飞,830,0,400,920,200,非刺客
嫦娥,250,100,442,460,300,非刺客
伽罗,580,780,788,530,300,非刺客
武则天,320,780,385,530,400,非刺客
狄仁杰,510,440,750,490,500,非刺客
小乔,590,780,100,200,500,非刺客
虞姬,480,440,880,420,600,非刺客
成吉思汗,550,340,788,420,600,非刺客
黄忠,580,480,865,300,600,非刺客
关羽,780,0,600,650,800,非刺客
公孙离,380,340,710,480,999,非刺客
