英雄,生命值,法力值,攻击力,防御力,敏捷,类型
花木兰,360,0,710,560,750,刺客
赵云,688,420,760,680,800,刺客
橘右京,720,0,630,670,800,刺客
不知火舞,610,0,368,480,788,刺客
李白,420,500,550,580,900,刺客
貂蝉,460,700,320,440,900,刺客
娜可露露,630,500,765,580,900,刺客
兰陵王,640,530,775,520,900,刺客
上官婉儿,655,780,320,600,800,刺客
孙悟空,666,420,635,650,900,刺客
阿轲,600,0,980,560,950,刺客
韩信,470,300,770,380,999,刺客
露娜,670,550,570,620,999,刺客
云缨,550,400,750,550,800,刺客
澜,420,450,800,500,900,刺客
镜,450,500,650,450,950,刺客
马超,500,320,700,400,750,刺客
云中君,500,400,750,400,900,刺客
钟馗,650,780,250,660,100,非刺客
廉颇,950,310,310,980,100,非刺客
姜子牙,380,800,463,520,200,非刺客
王昭君,390,700,375,180,200,非刺客
甄姬,440,800,375,440,200,非刺客
米莱狄,510,780,420,520,200,非刺客
弈星,550,680,430,560,200,非刺客
张良,550,780,368,320,200,非刺客
鲁班七号,600,400,850,380,200,非刺客
后羿,600,480,800,480,200,非刺客
安琪拉,600,700,368,220,200,非刺客
扁鹊,682,850,447,620,200,非刺客
刘邦,815,650,410,920,200,非刺客
张飞,830,0,400,920,200,非刺客
蔡文姬,590,580,360,560,250,非刺客
嫦娥,250,100,442,460,300,非刺客
周瑜,430,740,390,320,300,非刺客
妲己,570,850,368,400,300,非刺客
伽罗,580,780,788,530,300,非刺客
杨戬,775,220,510,770,300,非刺客
刘禅,858,220,375,800,300,非刺客
程咬金,866,0,460,920,300,非刺客
武则天,320,780,385,530,400,非刺客
吕布,765,0,600,660,400,非刺客
夏侯惇,768,350,500,690,400,非刺客
典韦,790,450,610,700,400,非刺客
亚瑟,810,0,620,700,400,非刺客
项羽,813,220,438,860,400,非刺客
庄周,820,220,385,870,400,非刺客
牛魔,845,630,200,680,400,非刺客
嬴政,400,680,447,150,500,非刺客
杨玉环,500,600,385,580,500,非刺客
狄仁杰,510,440,750,490,500,非刺客
小乔,590,780,100,200,500,非刺客
铠,680,480,525,650,500,非刺客
钟无艳,720,420,475,720,500,非刺客
老夫子,745,0,540,720,500,非刺客
墨子,750,320,525,820,500,非刺客
东皇太一,800,630,310,600,500,非刺客
白起,900,200,330,780,500,非刺客
虞姬,480,440,880,420,600,非刺客
成吉思汗,550,340,788,420,600,非刺客
黄忠,580,480,865,300,600,非刺客
沈梦溪,590,0,430,500,600,非刺客
高渐离,620,780,350,520,600,非刺客
宫本武藏,630,0,550,660,600,非刺客
雅典娜,640,330,520,750,600,非刺客
太乙真人,699,200,300,690,600,非刺客
刘备,710,340,730,640,600,非刺客
达摩,735,220,650,740,600,非刺客
马可波罗,440,0,710,520,700,非刺客
干将莫邪,440,680,360,380,700,非刺客
李元芳,520,440,800,500,700,非刺客
孙尚香,610,400,920,530,700,非刺客
孙膑,695,630,525,730,700,非刺客
鬼谷子,730,500,385,680,700,非刺客
曹操,780,0,700,620,700,非刺客
关羽,780,0,600,650,800,非刺客
百里守约,460,480,900,420,800,非刺客
芈月,620,0,340,600,850,非刺客
哪吒,760,500,490,710,900,非刺客
大乔,380,630,435,500,900,非刺客
女娲,470,950,375,350,900,非刺客
公孙离,380,340,710,480,999,非刺客
诸葛亮,470,780,320,440,999,非刺客
